cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	cluster_size	NSF_marker_count	NSForest_markers	binary_genes	donor_composition	donor_composition_alert_0.90	library_composition_alert_0.95	library_composition_over0.01	dominant_library_percentage	dominant_library_info	roi_composition	roi_composition_alert_0.95	cluster_median_level1.class_scANVI_AIT11.6_round1_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round1_entropy	cluster_median_level1.class_scANVI_AIT11.6_round2_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round2_entropy	cluster_median_level3.subclass_scANVI_AIT11.6_round2_entropy	cluster_median_doublet_score	cluster_median_pct_counts_mt	gene_counts	umi_counts	umi_gene_ratio
AIT117_86	IN_86		AIT117_321	STR FS PTHLH ST18 GABA	cluster							459	4	['NGF', 'OPN3', 'SLC22A3', 'EXPH5']	['LINC01885', 'NGF', 'OPN3', 'SLC22A3', 'PDGFD', 'EXPH5', 'IL1RAPL2', 'COL19A1', 'CHRM2', 'SEMA5A']	H23.30.001(0.3508)| H20.30.001(0.3072)| H20.30.002(0.1721)| H18.30.001(0.1699)| H19.30.004(0.0)	Balanced	Balanced	847_A04 (0.1068)|1955_B06 (0.0871)|930_C05 (0.0850)|1036_A03 (0.0741)|930_E05 (0.0610)|1036_B03 (0.0588)|2006_A05 (0.0458)|1955_C06 (0.0414)|1042_B06 (0.0392)|980_C02 (0.0370)|822_A01 (0.0305)|897_E03 (0.0283)|2013_C01 (0.0261)|1959_B02 (0.0261)|2018_B01 (0.0240)|2018_A01 (0.0218)|1042_C06 (0.0196)|1091_A05 (0.0196)|1959_A02 (0.0196)|930_A05 (0.0174)|1959_C02 (0.0109)|988_D05 (0.0109)|2016_B03 (0.0109)|847_B04 (0.0109)	0.1068	847_A04 (0.1068)|a total of 9215 cells in this dominant library	CaH(0.3224)| NAC(0.244)| CaB(0.1678)| CaT(0.0632)| Pu(0.0523)| PuPV(0.0479)| PuR(0.0436)| PuC(0.0414)| GPe(0.0131)| GPeR(0.0022)| GPi(0.0022)| GPeC(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.03	0.1978	6528	23628	3.62
AIT117_87	IN_87		AIT117_321	STR FS PTHLH ST18 GABA	cluster							263	3	['ADGRG6', 'SLC26A4-AS1', 'EYA4']	['CORT', 'ADGRG6', 'RASGRF2-AS1', 'SLC26A4-AS1', 'MYO5B', 'EYA4', 'SLC26A4', 'CMTM8', 'IL1RAPL2', 'CCBE1']	H20.30.002(0.346)| H20.30.001(0.2662)| H18.30.001(0.2395)| H23.30.001(0.1483)| H19.30.004(0.0)	Balanced	Balanced	822_A01 (0.1141)|847_A04 (0.1141)|1036_A03 (0.0951)|930_C05 (0.0646)|930_E05 (0.0646)|1036_B03 (0.0646)|1091_A05 (0.0570)|1036_C03 (0.0418)|1042_C06 (0.0304)|930_A05 (0.0304)|1955_C06 (0.0304)|1959_C02 (0.0266)|847_B04 (0.0228)|897_E03 (0.0228)|1955_B06 (0.0228)|891_A06 (0.0190)|2006_A05 (0.0152)|1959_B02 (0.0152)|930_D05 (0.0152)|1959_A02 (0.0152)|822_B01 (0.0152)|2018_A01 (0.0152)|1042_A06 (0.0152)|1042_B06 (0.0152)|930_F05 (0.0114)	0.1141	822_A01 (0.1141)|a total of 10559 cells in this dominant library	NAC(0.346)| CaH(0.2471)| PuR(0.1483)| CaB(0.1217)| Pu(0.057)| PuC(0.0494)| PuPV(0.019)| CaT(0.0076)| GPe(0.0038)| GPeC(0.0)| GPeR(0.0)| GPi(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.02	0.3748	6962	27611	3.97
AIT117_88	IN_88		AIT117_321	STR FS PTHLH ST18 GABA	cluster							319	3	['TAC3', 'IL1RAPL2', 'NDST4']	['BEST3', 'SFRP1', 'CRABP1', 'TAC3', 'IL1RAPL2', 'NDST4', 'CELF2-DT', 'THSD4', 'COL19A1', 'LMO4']	H20.30.002(0.3824)| H20.30.001(0.326)| H23.30.001(0.1693)| H18.30.001(0.1223)| H19.30.004(0.0)	Balanced	Balanced	1036_A03 (0.1693)|1042_B06 (0.1097)|1042_A06 (0.0721)|930_C05 (0.0690)|1036_C03 (0.0627)|930_E05 (0.0439)|847_A04 (0.0408)|1036_B03 (0.0408)|1042_C06 (0.0376)|891_A06 (0.0345)|1955_B06 (0.0345)|897_E03 (0.0313)|1959_A02 (0.0219)|2006_A05 (0.0219)|1955_C06 (0.0219)|1091_A05 (0.0219)|930_A05 (0.0188)|2013_C01 (0.0125)|1959_B02 (0.0125)|822_A01 (0.0125)|822_B01 (0.0125)	0.1693	1036_A03 (0.1693)|a total of 10559 cells in this dominant library	NAC(0.5486)| CaH(0.1755)| CaB(0.1442)| Pu(0.0313)| CaT(0.0282)| PuPV(0.0251)| PuC(0.0251)| PuR(0.0188)| GPe(0.0031)| GPeC(0.0)| GPeR(0.0)| GPi(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.02	0.2883	5429	16885	3.11
AIT117_92	IN_92		AIT117_330	STR LHX8 ST18 GABA	cluster							154	3	['AMIGO2', 'AC046195.2', 'LHX8']	['TPH2', 'AMIGO2', 'NMBR', 'AC046195.2', 'LHX8', 'AC046195.1', 'MALRD1', 'MOXD1', 'C5orf64', 'VCAN']	H23.30.001(0.5649)| H20.30.001(0.2078)| H20.30.002(0.1494)| H18.30.001(0.0779)| H19.30.004(0.0)	Balanced	Balanced	2006_B05 (0.1429)|2012_B05 (0.1234)|2013_B01 (0.1104)|1036_C03 (0.1039)|1482_A03 (0.0714)|2012_A05 (0.0649)|2013_A01 (0.0455)|1042_C06 (0.0455)|1091_A05 (0.0390)|960_B03 (0.0325)|2016_A03 (0.0260)|1042_B06 (0.0260)|1959_B02 (0.0195)|1110_B07 (0.0195)|930_B05 (0.0130)|1110_A07 (0.0130)|822_B01 (0.0130)|930_E05 (0.0130)|2058_B03 (0.0130)	0.1429	2006_B05 (0.1429)|a total of 6534 cells in this dominant library	GPi(0.3312)| NAC(0.2662)| GPe(0.2597)| GPeR(0.0325)| CaH(0.0195)| PuC(0.0195)| PuPV(0.0195)| CaB(0.013)| STH(0.013)| GPeC(0.0065)| CaT(0.0065)| Pu(0.0065)| PuR(0.0065)| SN(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0	0.64	0.1176	0.1161	7147	29594.5	4.14
AIT117_93	IN_93		AIT117_330	STR LHX8 ST18 GABA	cluster							83	2	['RERGL', 'ZNF385D-AS2']	['PIK3C2G', 'GRXCR2', 'RERGL', 'AC016723.1', 'ZNF385D-AS2', 'GLT8D2', 'TSIX', 'SULF1', 'PRELID2', 'AC007368.1']	H18.30.001(0.759)| H23.30.001(0.1084)| H20.30.001(0.0964)| H20.30.002(0.0361)| H19.30.004(0.0)	Balanced	Balanced	1110_B07 (0.4458)|1110_A07 (0.2048)|1091_A05 (0.1084)|1959_A02 (0.0361)|1042_C06 (0.0361)|1036_B03 (0.0241)|1042_A06 (0.0241)|1042_B06 (0.0241)|2013_B01 (0.0241)|2013_C01 (0.0120)|897_E03 (0.0120)|2013_A01 (0.0120)|2012_A05 (0.0120)|930_E05 (0.0120)|2006_B05 (0.0120)	0.4458	1110_B07 (0.4458)|a total of 4786 cells in this dominant library	NAC(0.9036)| GPe(0.0361)| CaB(0.0361)| GPi(0.0241)| CaT(0.0)| GPeC(0.0)| CaH(0.0)| GPeR(0.0)| Pu(0.0)| PuC(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0.58	0.0441	0.0397	4443	12852	2.89
AIT117_94	IN_94		AIT117_330	STR LHX8 ST18 GABA	cluster							207	3	['RERGL', 'COL12A1', 'SULF1']	['PIK3C2G', 'RERGL', 'C12orf75', 'GLT8D2', 'COL12A1', 'SULF1', 'MYO1B', 'AC007368.1', 'PDZRN4', 'GABRG1']	H20.30.002(0.5024)| H20.30.001(0.2512)| H18.30.001(0.1256)| H23.30.001(0.1208)| H19.30.004(0.0)	Balanced	Balanced	1036_C03 (0.3623)|1042_A06 (0.0870)|1042_B06 (0.0821)|1036_B03 (0.0676)|1042_C06 (0.0676)|1091_A05 (0.0628)|1036_A03 (0.0338)|2013_B01 (0.0338)|1110_B07 (0.0338)|2006_B05 (0.0193)|930_A05 (0.0145)|1959_C02 (0.0145)|994_C03 (0.0145)|1959_A02 (0.0145)|1110_A07 (0.0145)	0.3623	1036_C03 (0.3623)|a total of 10219 cells in this dominant library	NAC(0.8261)| GPi(0.058)| GPe(0.029)| CaH(0.0193)| CaB(0.0193)| Pu(0.0193)| PuR(0.0145)| GPeR(0.0097)| SN(0.0048)| GPeC(0.0)| CaT(0.0)| PuPV(0.0)| PuC(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0.5	0.02	0.3196	5477	16303	2.98
AIT117_95	IN_95		AIT117_322	STR TAC3 PLPP4 GABA	cluster							226	3	['IGFBP2', 'TRH', 'AC046195.2']	['IGFBP2', 'LINC02192', 'TRH', 'AC046195.2', 'LINC00457', 'DGKK', 'AC046195.1', 'ZNF385D-AS2', 'ADAMTS18', 'THSD7B']	H23.30.001(0.3761)| H20.30.001(0.2876)| H20.30.002(0.1726)| H18.30.001(0.1637)| H19.30.004(0.0)	Balanced	Balanced	988_E05 (0.0708)|930_D05 (0.0619)|822_A01 (0.0487)|1036_C03 (0.0398)|2016_B03 (0.0354)|2012_A05 (0.0354)|847_A04 (0.0310)|2006_B05 (0.0310)|2006_A05 (0.0265)|897_E03 (0.0265)|1959_B02 (0.0265)|1036_B03 (0.0265)|2018_B01 (0.0265)|847_B04 (0.0265)|847_C04 (0.0221)|930_F05 (0.0221)|930_E05 (0.0221)|2018_A01 (0.0221)|2013_B01 (0.0221)|1959_C02 (0.0221)|2013_A01 (0.0221)|980_C02 (0.0177)|2018_C01 (0.0177)|1110_A07 (0.0177)|988_D05 (0.0177)|960_B03 (0.0177)|847_D04 (0.0177)|930_C05 (0.0177)|930_B05 (0.0177)|1091_A05 (0.0133)|1110_B07 (0.0133)|2016_C03 (0.0133)|1036_A03 (0.0133)|2013_C01 (0.0133)|1955_C06 (0.0133)|1482_A03 (0.0133)	0.0708	988_E05 (0.0708)|a total of 10190 cells in this dominant library	PuC(0.1549)| NAC(0.1504)| PuPV(0.1372)| GPe(0.1062)| PuR(0.0973)| CaH(0.0929)| CaB(0.0929)| CaT(0.0619)| GPi(0.0487)| Pu(0.0354)| GPeR(0.0177)| STH(0.0044)| GPeC(0.0)| SN(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0.08	0.2251	7164	28568	3.99
AIT117_96	IN_96		AIT117_322	STR TAC3 PLPP4 GABA	cluster							1037	3	['ADAMTS20', 'TAC3', 'CRABP1']	['CER1', 'GLP1R', 'ADAMTS20', 'TAC3', 'CRABP1', 'GLT8D2', 'GFRA2', 'MEF2C-AS2', 'LINC02223', 'H3F3B']	H20.30.001(0.3703)| H20.30.002(0.3607)| H18.30.001(0.1389)| H23.30.001(0.1302)| H19.30.004(0.0)	Balanced	Balanced	1036_C03 (0.1562)|1036_A03 (0.1340)|1036_B03 (0.1321)|1042_B06 (0.1003)|1042_C06 (0.0733)|1091_A05 (0.0530)|1042_A06 (0.0492)|1955_B06 (0.0434)|1110_B07 (0.0318)|847_A04 (0.0270)|1955_C06 (0.0212)|930_E05 (0.0212)|930_C05 (0.0203)|1959_A02 (0.0145)|1110_A07 (0.0125)|2006_B05 (0.0125)|930_A05 (0.0106)	0.1562	1036_C03 (0.1562)|a total of 10219 cells in this dominant library	NAC(0.757)| CaH(0.109)| CaB(0.0386)| Pu(0.0241)| GPe(0.0222)| GPi(0.0145)| CaT(0.0096)| PuR(0.0096)| GPeR(0.0087)| PuPV(0.0039)| PuC(0.0019)| STH(0.001)| GPeC(0.0)| SN(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0	0.315	4587	11624	2.53
AIT117_97	IN_97		AIT117_322	STR TAC3 PLPP4 GABA	cluster							3220	2	['CHRNA3', 'ADAMTS18']	['CER1', 'LINC01837', 'CHRNA3', 'GLP1R', 'TAC3', 'ADAMTS18', 'CRABP1', 'SLC22A3', 'AC007614.1', 'GFRA2']	H23.30.001(0.3106)| H20.30.001(0.2742)| H18.30.001(0.2252)| H20.30.002(0.1894)| H19.30.004(0.0006)	Balanced	Balanced	847_A04 (0.0953)|897_E03 (0.0727)|930_C05 (0.0683)|930_E05 (0.0522)|822_B01 (0.0407)|988_D05 (0.0391)|980_C02 (0.0363)|2006_A05 (0.0335)|1036_B03 (0.0311)|2013_C01 (0.0283)|2006_B05 (0.0270)|1959_B02 (0.0270)|988_E05 (0.0227)|822_A01 (0.0220)|847_B04 (0.0217)|2018_B01 (0.0183)|960_B03 (0.0174)|1955_B06 (0.0174)|2018_C01 (0.0171)|2018_E01 (0.0171)|1091_A05 (0.0171)|1036_C03 (0.0158)|2013_A01 (0.0158)|1042_C06 (0.0149)|2013_B01 (0.0143)|2016_C03 (0.0134)|994_C03 (0.0134)|1959_C02 (0.0134)|1110_A07 (0.0134)|2012_A05 (0.0130)|1955_C06 (0.0127)|1110_B07 (0.0124)|891_A06 (0.0118)|930_A05 (0.0115)|2018_A01 (0.0115)	0.0953	847_A04 (0.0953)|a total of 9215 cells in this dominant library	CaH(0.2196)| CaB(0.1984)| NAC(0.1351)| PuPV(0.1016)| CaT(0.0984)| GPe(0.073)| PuR(0.0484)| GPi(0.0419)| PuC(0.0339)| Pu(0.0261)| GPeR(0.0186)| STH(0.0028)| GPeC(0.0012)| SN(0.0009)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0.0227	0.1082	5638	17588	3.12
AIT117_98	IN_98		AIT117_322	STR TAC3 PLPP4 GABA	cluster							708	3	['AC044798.3', 'COL15A1', 'ADAMTS17']	['AC044798.3', 'VIPR2', 'AC106729.1', 'AC019068.1', 'COL15A1', 'ADAMTS17', 'MT-ATP8', 'CHST9', 'SYT2', 'MT-ND4L']	H20.30.001(0.6158)| H18.30.001(0.1653)| H20.30.002(0.154)| H23.30.001(0.0636)| H19.30.004(0.0014)	Balanced	Balanced	930_D05 (0.2726)|988_E05 (0.1737)|930_F05 (0.1229)|847_D04 (0.1031)|822_A01 (0.0650)|847_C04 (0.0297)|822_B01 (0.0268)|988_D05 (0.0254)|2018_A01 (0.0226)|988_C05 (0.0212)|930_E05 (0.0212)|930_B05 (0.0212)|930_C05 (0.0198)|2016_B03 (0.0198)|897_E03 (0.0184)	0.2726	930_D05 (0.2726)|a total of 8788 cells in this dominant library	PuC(0.4393)| PuPV(0.2387)| PuR(0.1935)| CaT(0.0466)| CaB(0.0424)| CaH(0.0268)| GPeR(0.0042)| GPe(0.0028)| GPi(0.0028)| STH(0.0014)| Pu(0.0014)| GPeC(0.0)| NAC(0.0)| SN(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0.027	0.8001	6251.5	21367.5	3.42
AIT117_99	IN_99		AIT117_322	STR TAC3 PLPP4 GABA	cluster							691	3	['TRH', 'GRXCR2', 'LINC01837']	['LRRC38', 'TRH', 'GRXCR2', 'ADRA1D', 'LINC01837', 'GLP1R', 'SST', 'TAC3', 'ADAMTS18', 'THSD7B']	H20.30.001(0.3126)| H20.30.002(0.2663)| H23.30.001(0.2648)| H18.30.001(0.1563)| H19.30.004(0.0)	Balanced	Balanced	1036_A03 (0.0796)|2006_B05 (0.0709)|930_C05 (0.0695)|847_A04 (0.0680)|1036_B03 (0.0608)|1036_C03 (0.0521)|1955_C06 (0.0478)|1955_B06 (0.0463)|822_A01 (0.0449)|980_C02 (0.0405)|930_A05 (0.0376)|930_E05 (0.0362)|960_B03 (0.0333)|988_D05 (0.0304)|1042_C06 (0.0246)|1091_A05 (0.0246)|1959_C02 (0.0232)|897_E03 (0.0232)|1042_A06 (0.0203)|1042_B06 (0.0174)|2006_A05 (0.0130)|930_D05 (0.0116)|1959_A02 (0.0101)	0.0796	1036_A03 (0.0796)|a total of 10559 cells in this dominant library	NAC(0.2938)| CaH(0.2272)| GPe(0.0839)| CaT(0.0825)| CaB(0.081)| Pu(0.0709)| PuR(0.0579)| GPeR(0.0347)| GPi(0.0217)| PuPV(0.0217)| PuC(0.0217)| GPeC(0.0029)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.04	0.2819	6423	21296	3.32
AIT117_100	IN_100		AIT117_331	STR SST RSPO2 GABA	cluster							178	3	['MYO5B', 'FLT3', 'NXPH2']	['MYO5B', 'RSPO3', 'SATB1-AS1', 'FLT3', 'NXPH2', 'AC073332.1', 'SLC24A4', 'CALB1', 'GRIK1', 'SOX6']	H20.30.001(0.3427)| H23.30.001(0.2528)| H20.30.002(0.2303)| H18.30.001(0.1685)| H19.30.004(0.0056)	Balanced	Balanced	980_C02 (0.1180)|822_B01 (0.0562)|988_C05 (0.0449)|925_F03 (0.0449)|1959_A02 (0.0449)|1042_B06 (0.0393)|1955_C06 (0.0393)|930_E05 (0.0393)|847_C04 (0.0393)|930_C05 (0.0337)|822_A01 (0.0337)|897_E03 (0.0337)|1036_C03 (0.0281)|1482_A03 (0.0281)|2018_E01 (0.0281)|988_D05 (0.0225)|847_A04 (0.0225)|988_E05 (0.0225)|1959_C02 (0.0225)|1036_B03 (0.0169)|2016_A03 (0.0169)|2013_C01 (0.0169)|930_D05 (0.0169)|2013_B01 (0.0169)|960_B03 (0.0112)|930_F05 (0.0112)|2013_A01 (0.0112)|891_A06 (0.0112)|2012_B05 (0.0112)|1036_A03 (0.0112)|1091_A05 (0.0112)|1042_A06 (0.0112)	0.118	980_C02 (0.118)|a total of 6906 cells in this dominant library	CaT(0.2191)| NAC(0.1798)| PuPV(0.118)| CaB(0.1067)| GPi(0.073)| CaH(0.0618)| Pu(0.0618)| SN(0.0506)| PuR(0.0506)| PuC(0.0337)| GPe(0.0225)| STH(0.0112)| GPeR(0.0112)| GPeC(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0	0.1617	5309	19160.5	3.61
AIT117_101	IN_101		AIT117_331	STR SST RSPO2 GABA	cluster							276	3	['SST', 'SATB1', 'SATB1-AS1']	['NMU', 'NPAS1', 'SST', 'SATB1', 'SATB1-AS1', 'FLT3', 'PAWR', 'TRHDE-AS1', 'TRHDE', 'GRIN3A']	H23.30.001(0.413)| H20.30.002(0.2862)| H18.30.001(0.1703)| H20.30.001(0.1304)| H19.30.004(0.0)	Balanced	Balanced	1955_C06 (0.1486)|988_C05 (0.0942)|822_A01 (0.0688)|2018_E01 (0.0580)|847_C04 (0.0507)|925_F03 (0.0507)|897_E03 (0.0362)|980_C02 (0.0362)|1959_A02 (0.0326)|1955_B06 (0.0290)|822_B01 (0.0254)|930_A05 (0.0254)|2018_C01 (0.0254)|1036_A03 (0.0217)|1959_C02 (0.0217)|2013_C01 (0.0181)|930_E05 (0.0181)|930_D05 (0.0181)|988_E05 (0.0181)|988_D05 (0.0181)|2018_B01 (0.0145)|2018_A01 (0.0145)|2016_B03 (0.0145)|847_A04 (0.0145)|847_D04 (0.0109)|1036_B03 (0.0109)|1091_A05 (0.0109)|930_B05 (0.0109)|2012_B05 (0.0109)	0.1486	1955_C06 (0.1486)|a total of 8987 cells in this dominant library	CaT(0.2101)| Pu(0.1703)| PuPV(0.1123)| NAC(0.0906)| PuR(0.0833)| CaB(0.0833)| CaH(0.0797)| PuC(0.0688)| SN(0.0507)| GPe(0.0254)| GPi(0.0217)| GPeR(0.0036)| GPeC(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0.24	0.0238	0.2494	5853	21766.5	3.72
AIT117_106	IN_106		AIT117_332	STR SST Chodl GABA	cluster							206	2	['NPY', 'IL1RAPL2']	['NPY2R', 'CRHBP', 'NPY', 'NXPH2', 'IL1RAPL2', 'NOS1', 'NDST4', 'COL24A1', 'TRPC6', 'TACR1']	H23.30.001(0.6214)| H18.30.001(0.1311)| H20.30.001(0.1262)| H20.30.002(0.1214)| H19.30.004(0.0)	Balanced	Balanced	1955_C06 (0.2087)|2018_E01 (0.0534)|1091_A05 (0.0485)|2012_C05 (0.0437)|1959_A02 (0.0388)|2016_C03 (0.0388)|2018_A01 (0.0388)|980_C02 (0.0388)|2018_C01 (0.0388)|1482_A03 (0.0291)|2016_B03 (0.0291)|2018_B01 (0.0291)|988_C05 (0.0243)|1959_C02 (0.0243)|822_B01 (0.0243)|988_D05 (0.0194)|1955_B06 (0.0194)|925_F03 (0.0146)|2006_B05 (0.0146)|930_C05 (0.0146)|1959_B02 (0.0146)|1042_C06 (0.0146)|1036_A03 (0.0146)|847_A04 (0.0146)|847_B04 (0.0146)	0.2087	1955_C06 (0.2087)|a total of 8987 cells in this dominant library	Pu(0.233)| CaT(0.1796)| NAC(0.1505)| PuPV(0.1068)| PuC(0.0777)| CaH(0.0728)| GPe(0.0583)| GPi(0.0437)| PuR(0.0291)| CaB(0.0194)| SN(0.0194)| GPeR(0.0097)| GPeC(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.058	0.1378	6295	26770.5	4.25
AIT117_107	IN_107		AIT117_332	STR SST Chodl GABA	cluster							98	3	['AC002072.1', 'NPY', 'DIRAS3']	['AC002072.1', 'CORT', 'NPY', 'LINC02133', 'SST', 'DIRAS3', 'MOXD1', 'FBN2', 'LINC01776', 'SFTA3']	H23.30.001(0.4694)| H20.30.001(0.2755)| H20.30.002(0.2041)| H18.30.001(0.051)| H19.30.004(0.0)	Balanced	Balanced	1482_A03 (0.1837)|2012_B05 (0.1327)|1036_C03 (0.1020)|2006_B05 (0.0918)|1042_A06 (0.0918)|2013_B01 (0.0612)|1042_C06 (0.0510)|2016_A03 (0.0408)|2018_C01 (0.0408)|1110_B07 (0.0408)|1036_B03 (0.0204)|1042_B06 (0.0204)|2013_A01 (0.0204)|2012_A05 (0.0204)|1036_A03 (0.0102)|1110_A07 (0.0102)|1959_A02 (0.0102)|1955_B06 (0.0102)|1959_C02 (0.0102)|2006_A05 (0.0102)|2013_C01 (0.0102)|1959_B02 (0.0102)	0.1837	1482_A03 (0.1837)|a total of 4968 cells in this dominant library	GPi(0.4184)| NAC(0.3571)| GPe(0.1735)| CaH(0.0204)| CaB(0.0204)| Pu(0.0102)| CaT(0.0)| GPeR(0.0)| GPeC(0.0)| PuC(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.1143	0.1069	7316	37408	5.11
AIT117_108	IN_108		AIT117_332	STR SST Chodl GABA	cluster							1022	2	['TRPM8', 'NPY']	['LINC00348', 'TRPM8', 'CORT', 'NPY', 'TLL2', 'SST', 'TRPC7', 'CRHR2', 'FBN2', 'NOS1']	H23.30.001(0.4423)| H20.30.001(0.2583)| H18.30.001(0.1595)| H20.30.002(0.1399)| H19.30.004(0.0)	Balanced	Balanced	2016_C03 (0.1037)|980_C02 (0.0656)|988_E05 (0.0587)|2018_B01 (0.0519)|822_B01 (0.0431)|2016_B03 (0.0411)|847_A04 (0.0342)|2018_E01 (0.0303)|1955_C06 (0.0303)|2018_A01 (0.0294)|988_D05 (0.0264)|2018_C01 (0.0264)|847_D04 (0.0245)|930_F05 (0.0245)|2006_B05 (0.0225)|930_C05 (0.0215)|847_C04 (0.0215)|1036_B03 (0.0215)|2006_A05 (0.0196)|930_D05 (0.0196)|930_B05 (0.0196)|930_E05 (0.0196)|1955_B06 (0.0196)|897_E03 (0.0176)|1091_A05 (0.0157)|988_C05 (0.0157)|1110_A07 (0.0147)|1042_B06 (0.0147)|1959_C02 (0.0147)|2013_C01 (0.0137)|1110_B07 (0.0127)|1042_A06 (0.0127)|1959_B02 (0.0117)|1036_A03 (0.0108)	0.1037	2016_C03 (0.1037)|a total of 8224 cells in this dominant library	PuPV(0.2789)| CaT(0.1448)| PuC(0.1341)| NAC(0.1233)| CaH(0.089)| CaB(0.0734)| GPe(0.0577)| Pu(0.045)| PuR(0.0391)| GPi(0.0117)| GPeC(0.002)| GPeR(0.001)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.1	0.121	7327.5	36451.5	4.97
AIT117_109	IN_109		AIT117_315	STR Cholinergic GABA	cluster							143	2	['SLC5A7', 'CHAT']	['SLC5A7', 'CHAT', 'CNBD1', 'Z96074.1', 'AC091576.1', 'OR8A1', 'COL6A6', 'SLC17A8', 'LHX8', 'ISL1']	H23.30.001(0.8112)| H20.30.001(0.1189)| H18.30.001(0.0559)| H20.30.002(0.014)| H19.30.004(0.0)	Balanced	Balanced	2016_A03 (0.2028)|2016_C03 (0.1888)|2012_A05 (0.1189)|2012_B05 (0.1119)|2013_B01 (0.0839)|1482_A03 (0.0699)|1955_B06 (0.0350)|2006_B05 (0.0280)|1110_B07 (0.0210)|980_C02 (0.0210)|847_A04 (0.0210)|988_E05 (0.0140)|960_B03 (0.0140)	0.2028	2016_A03 (0.2028)|a total of 8401 cells in this dominant library	GPi(0.4755)| PuPV(0.2028)| GPe(0.1538)| NAC(0.0559)| CaH(0.0559)| CaT(0.028)| CaB(0.014)| GPeR(0.014)| GPeC(0.0)| Pu(0.0)| PuC(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.12	0.1113	7201	42155	5.85
AIT117_110	IN_110		AIT117_323	NDB SI LHX6 LHX8 GBX1	cluster							85	4	['CD36', 'AC007319.1', 'TRPC3', 'PDE3A']	['CD36', 'AC007319.1', 'RGS5', 'TRPC3', 'ATP1A2', 'PDE3A', 'AC008415.1', 'CPNE4', 'TSHZ2', 'ADARB2']	H23.30.001(0.9882)| H20.30.001(0.0118)| H18.30.001(0.0)| H19.30.004(0.0)| H20.30.002(0.0)	Cautious	Cautious	2016_A03 (0.9882)|1482_A03 (0.0118)	0.9882	2016_A03 (0.9882)|a total of 8401 cells in this dominant library	GPi(1.0)| CaH(0.0)| CaB(0.0)| CaT(0.0)| GPe(0.0)| GPeC(0.0)| GPeR(0.0)| NAC(0.0)| Pu(0.0)| PuC(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Cautious	0	0.24	0	0.24	0.24	0.14	0.1226	2749	5292	1.93
AIT117_111	IN_111		AIT117_323	NDB SI LHX6 LHX8 GBX1	cluster							138	3	['DISC1FP1', 'TRPC3', 'TMEM179']	['DISC1FP1', 'TRPC3', 'TMEM179', 'SNTG2', 'OVCH1', 'LINC02112', 'AL356124.1', 'NXPH1', 'ADARB2', 'CDH13']	H20.30.001(0.971)| H23.30.001(0.0217)| H20.30.002(0.0072)| H18.30.001(0.0)| H19.30.004(0.0)	Cautious	Balanced	994_C03 (0.8841)|960_B03 (0.0870)|2013_B01 (0.0145)	0.8841	994_C03 (0.8841)|a total of 4714 cells in this dominant library	GPi(0.9058)| GPeR(0.087)| STH(0.0072)| CaT(0.0)| CaH(0.0)| GPeC(0.0)| CaB(0.0)| GPe(0.0)| NAC(0.0)| PuC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Balanced	0	0.39	0	0.39	0.39	0.16	0.0576	3270.5	7476	2.29
